primary_label,scientific_name,common_name,filename,rating,train
acafly,Empidonax virescens,Acadian Flycatcher,XC109605.ogg,2.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC11209.ogg,3.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC127032.ogg,3.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC129974.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC129981.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC130056.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC130133.ogg,4.0,0
acafly,Empidonax virescens,Acadian Flycatcher,XC130140.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC130750.ogg,4.0,0
acafly,Empidonax virescens,Acadian Flycatcher,XC131193.ogg,3.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC133047.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC135020.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC135121.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC136287.ogg,3.5,0
acafly,Empidonax virescens,Acadian Flycatcher,XC136290.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC136301.ogg,3.5,0
acafly,Empidonax virescens,Acadian Flycatcher,XC137858.ogg,4.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC137859.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC138090.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC138091.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC138092.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC157337.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC163936.ogg,4.0,0
acafly,Empidonax virescens,Acadian Flycatcher,XC166392.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC178213.ogg,4.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC178214.ogg,4.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC182091.ogg,5.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC197247.ogg,0.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC203555.ogg,2.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC215798.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC237866.ogg,4.5,0
acafly,Empidonax virescens,Acadian Flycatcher,XC240038.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC240101.ogg,5.0,0
acafly,Empidonax virescens,Acadian Flycatcher,XC244719.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC246420.ogg,2.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC247271.ogg,4.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC247436.ogg,3.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC247829.ogg,3.0,0
acafly,Empidonax virescens,Acadian Flycatcher,XC247837.ogg,3.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC247939.ogg,3.5,0
acafly,Empidonax virescens,Acadian Flycatcher,XC248218.ogg,1.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC248888.ogg,5.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC250814.ogg,3.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC250815.ogg,5.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC250816.ogg,2.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC254311.ogg,4.0,1
acafly,Empidonax virescens,Acadian Flycatcher,XC262224.ogg,4.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC262225.ogg,4.5,1
acafly,Empidonax virescens,Acadian Flycatcher,XC265805.ogg,3.5,1
